
"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia"
"030117","VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95","","","FORT MOHAVE","AZ","86426","MOHAVE","9287882273","15.9","No Different than U.S. National Rate","11.9","20.8","72","","11.1","No Different than U.S. National Rate","8.2","14.9","138","","11.6","No Different than U.S. National Rate","8.3","16.1","114","","20.1","No Different than U.S. National Rate","16.1","25.1","62","","25.2","No Different than U.S. National Rate","21.5","29.7","159","","20.1","No Different than U.S. National Rate","16.1","24.5","112",""
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST","7700 EAST FLORENTINE ROAD","","","PRESCOTT VALLEY","AZ","86314","YAVAPAI","9284428165","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.3","No Different than U.S. National Rate","8.2","15.4","85","","14.9","No Different than U.S. National Rate","11.3","19.6","198","","Not Available","Number of Cases Too Small","Not Available","Not Available","12","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.0","No Different than U.S. National Rate","19.1","27.7","113","","18.1","No Different than U.S. National Rate","14.7","22.1","215",""
"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","","","GILBERT","AZ","85296","MARICOPA","4807288327","16.1","No Different than U.S. National Rate","12.3","20.9","99","","10.0","No Different than U.S. National Rate","7.4","13.5","177","","10.0","No Different than U.S. National Rate","7.3","13.1","274","","18.6","No Different than U.S. National Rate","14.9","23.0","86","","24.7","No Different than U.S. National Rate","21.1","28.7","230","","16.8","No Different than U.S. National Rate","14.2","20.1","301",""
"030120","GILBERT HOSPITAL","5656 SOUTH POWER ROAD","","","GILBERT","AZ","85295","MARICOPA","4802795835","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","9.9","No Different than U.S. National Rate","6.9","14.0","71","","9.6","No Different than U.S. National Rate","6.6","14.0","108","","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.4","No Different than U.S. National Rate","20.8","30.7","84","","18.2","No Different than U.S. National Rate","14.5","22.9","120",""
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","","","MESA","AZ","85209","MARICOPA","4803586100","18.0","No Different than U.S. National Rate","14.1","22.9","131","","11.6","No Different than U.S. National Rate","8.9","14.9","293","","9.4","No Different than U.S. National Rate","7.0","12.5","266","","20.4","No Different than U.S. National Rate","16.4","25.2","137","","28.2","No Different than U.S. National Rate","24.5","32.2","343","","19.8","No Different than U.S. National Rate","16.8","23.2","310",""
"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","","","GILBERT","AZ","85234","MARICOPA","4805432000","14.7","No Different than U.S. National Rate","11.1","19.3","29","","11.7","No Different than U.S. National Rate","8.8","15.5","150","","10.5","No Different than U.S. National Rate","7.5","14.1","155","","Not Available","Number of Cases Too Small","Not Available","Not Available","18","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.7","No Different than U.S. National Rate","21.6","30.4","176","","17.4","No Different than U.S. National Rate","14.0","21.3","171",""
"030123","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","7400 EAST THOMPSON PEAK PARKWAY","","","SCOTTSDALE","AZ","85255","MARICOPA","4803247004","Not Available","Number of Cases Too Small","Not Available","Not Available","19","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","12.2","No Different than U.S. National Rate","9.0","16.3","83","","11.2","No Different than U.S. National Rate","8.1","15.3","107","","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","22.8","No Different than U.S. National Rate","18.7","27.6","107","","18.0","No Different than U.S. National Rate","14.4","22.4","137",""
"030126","ARIZONA REGIONAL MEDICAL CENTER","515 NORTH MESA DRIVE","","","MESA","AZ","85201","MARICOPA","4808983333","18.9","No Different than U.S. National Rate","14.3","24.3","59","","11.6","No Different than U.S. National Rate","8.4","15.9","90","","11.1","No Different than U.S. National Rate","7.3","16.2","55","","21.4","No Different than U.S. National Rate","16.9","26.8","55","","24.7","No Different than U.S. National Rate","20.5","29.6","116","","19.2","No Different than U.S. National Rate","15.2","24.1","65",""
"030130","BANNER IRONWOOD MEDICAL CENTER","37000 NORTH GANTZEL ROAD","","","SAN TAN VALLEY","AZ","85140","PINAL","4803944030","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","14","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"030131","OASIS HOSPITAL","750 NORTH 40TH STREET","","","PHOENIX","AZ","85008","MARICOPA","6027977700","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","","","PRESCOTT                      ","AZ","86313","YAVAPAI","9284454860","Not Available","Number of Cases Too Small","Not Available","Not Available","18","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.8","No Different than U.S. National Rate","8.7","15.8","107","","12.9","No Different than U.S. National Rate","9.7","16.9","170","","Not Available","Number of Cases Too Small","Not Available","Not Available","14","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.0","No Different than U.S. National Rate","20.7","29.8","123","","19.1","No Different than U.S. National Rate","15.5","23.3","184",""
"031300","WICKENBURG COMMUNITY HOSPITAL","520 ROSE LANE","","","WICKENBURG","AZ","85390","MARICOPA","9286845421","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.3","No Different than U.S. National Rate","7.2","14.6","33","","9.9","No Different than U.S. National Rate","6.8","13.9","76","","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.2","No Different than U.S. National Rate","19.4","29.4","41","","18.3","No Different than U.S. National Rate","14.4","22.9","78",""
"031301","BENSON HOSPITAL","450 SOUTH OCOTILLO STREET","","","BENSON","AZ","85602","COCHISE","5205862261","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","23","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.2","No Different than U.S. National Rate","7.0","15.1","49","","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.1","No Different than U.S. National Rate","18.0","28.6","30","","17.3","No Different than U.S. National Rate","13.4","22.0","48",""
"031302","NORTHERN COCHISE COMMUNITY HOSPITAL","901 WEST REX ALLEN DRIVE","","","WILLCOX","AZ","85643","COCHISE","5203843541","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","24","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.6","No Different than U.S. National Rate","8.2","16.3","60","","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.4","No Different than U.S. National Rate","19.7","30.2","31","","17.1","No Different than U.S. National Rate","13.4","21.5","60",""
"031303","SOUTHEAST ARIZONA MEDICAL CENTER","2174 WEST OAK AVENUE","","","DOUGLAS","AZ","85607","COCHISE","5203647931","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.2","No Different than U.S. National Rate","7.1","14.4","26","","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","18.5","No Different than U.S. National Rate","14.6","23.2","27",""
"031304","PAGE HOSPITAL","501 NORTH NAVAJO DRIVE","","","PAGE","AZ","86040","COCONINO","6286452424","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","16","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","12","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","19","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"031305","HOPI HEALTH CARE CENTER","HIGHWAY 264, MILEPOST 388","","","POLACCA","AZ","86042","NAVAJO","9287376000","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.0","No Different than U.S. National Rate","7.5","15.8","27","","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","13","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","18.1","No Different than U.S. National Rate","14.2","23.1","52",""
"031309","SAGE MEMORIAL HOSPITAL","STATE ROUTE 264 SOUTH 191 PO BOX 457","","","GANADO","AZ","86505","APACHE","9287554500","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.3","No Different than U.S. National Rate","7.0","14.8","58","","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","18.2","No Different than U.S. National Rate","14.2","23.0","68",""
"031311","LITTLE COLORADO MEDICAL CENTER","1501 NORTH WILLIAMSON AVENUE","","","WINSLOW","AZ","86047","NAVAJO","9282894691","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.2","No Different than U.S. National Rate","8.3","14.6","84","","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","24","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","16.6","No Different than U.S. National Rate","13.1","21.0","94",""
